id,location,latitude,longitude,price_per_hour,is_available
1,2345 Block of Murray Ave (Metered),40.4306411057901,-79.92331392169922,2.00,1
2,2212 Block of Murray Ave (Metered),40.43193768060151,-79.92330467799003,2.00,1
3,2223 Block of Murray Ave (Metered),40.43202808740499,-79.92313311863768,2.00,1
4,5737 Block of Phillips Ave (Metered),40.43226295913173,-79.92348448048654,2.00,1
5,5802 Block of Phillips Ave (Metered),40.432322722656224,-79.92278092230585,2.00,1
6,5809 Block of Phillips Ave (Metered),40.43240356930861,-79.92276838976952,2.00,1
7,2209 Block of Murray Ave (Metered),40.43261548648081,-79.9230519774016,2.00,1
8,5817 Block of Douglas St (Metered),40.43281116060742,-79.92277063218806,2.00,1
9,2119 Block of Murray Ave (Metered),40.433218430694616,-79.92297421390005,2.00,1
10,2111 Block of Murray Ave (Metered),40.43324011275432,-79.92308949719192,2.00,1
11,2029 Block of Murray Ave (Metered),40.43401962797237,-79.9228629973374,2.00,1
12,2018 Block of Murray Ave (Metered),40.4341927840326,-79.92296618978003,2.00,1
13,5737 Block of Beacon St (Metered),40.4346219869661,-79.92347986350465,2.00,1
14,5801 Block of Beacon St (Metered),40.43480200938415,-79.92216031213123,2.00,1
15,5807 Block of Beacon St (Metered),40.434887523984365,-79.92236726572615,2.00,1
16,1935 Block of Murray Ave (Metered),40.435135416576415,-79.9227814364688,2.00,1
17,1900 Block of Murray Ave (Metered),40.43581955922646,-79.92296152086175,2.00,1
18,5767 Block of Bartlett St (Metered),40.43597281250552,-79.92332714997508,2.00,1
19,5799 Block of Bartlett St (Metered),40.43602962364942,-79.9234323811875,2.00,1
20,5805 Block of Bartlett St (Metered),40.43607378364358,-79.92262350660994,2.00,1
21,1837 Block of Murray Ave (Metered),40.4363168382047,-79.92284110381406,2.00,1
22,1816 Block of Murray Ave (Metered),40.43642578916675,-79.92296089104553,2.00,1
23,5806 Block of Darlington Rd (Metered),40.43696069910889,-79.92264928141982,2.00,1
24,5806 Block of Darlington Rd (Metered),40.43702299679348,-79.9225893631842,2.00,1
25,1700 Block of Murray Ave (Metered),40.4377500806945,-79.92302692381634,2.00,1
26,1723 Block of Murray Ave (Metered),40.43727569667327,-79.92288294877235,2.00,1
27,1688 Block of Murray Ave (Metered),40.43843453553876,-79.92304921103656,2.00,1
28,5808 Block of Forbes Ave (Metered),40.438011795400136,-79.92247498158385,2.00,1
29,5875 Block of Forbes Ave (Metered),40.43809647014837,-79.92004647077978,2.00,1
30,1704 Block of Shady Ave (Metered),40.4377722425834,-79.91936921367859,2.00,1
31,5835 Block of Forward Ave (Metered),40.42953678579107,-79.9224131190468,2.00,1
32,5686 Block of Forward Ave (Metered),40.428948477893115,-79.92479283803571,0.00,1
33,2621 Block of Murray Ave (Metered),40.429101367117624,-79.9237841796245,0.00,1
34,2702 Block of Murray Ave (Metered),40.42892344023612,-79.92415324725636,2.00,1
35,2702 Block of Murray Ave (Metered),40.42819517751731,-79.92481315339359,2.00,1
